utilisateur_id,item_id,note
1,101,4.2
1,102,3.8
1,103,4.5
1,104,2.1
1,105,4.8
1,106,3.3
1,107,4.0
1,108,3.5
2,101,3.9
2,102,4.1
2,103,2.8
2,104,4.3
2,105,3.6
2,106,4.7
2,107,2.9
2,108,3.4
2,109,4.5
3,101,4.6
3,102,3.2
3,103,4.8
3,104,3.7
3,105,2.4
3,106,4.1
3,107,3.9
3,108,4.3
3,109,3.1
3,110,4.0
4,101,2.8
4,102,4.4
4,103,3.5
4,104,4.2
4,105,3.8
4,106,2.6
4,107,4.7
4,108,3.3
4,109,4.1
4,110,3.9
4,111,4.5
5,101,4.3
5,102,2.9
5,103,4.6
5,104,3.4
5,105,4.1
5,106,3.7
5,107,2.5
5,108,4.8
5,109,3.2
5,110,4.4
5,111,3.8
5,112,4.0
6,101,3.6
6,102,4.5
6,103,2.7
6,104,4.1
6,105,3.9
6,106,4.3
6,107,3.1
6,108,2.8
6,109,4.6
6,110,3.4
6,111,4.2
6,112,3.7
6,113,4.4
7,101,4.7
7,102,3.3
7,103,4.1
7,104,2.9
7,105,4.5
7,106,3.6
7,107,4.2
7,108,3.8
7,109,2.6
7,110,4.8
7,111,3.1
7,112,4.3
7,113,3.9
7,114,4.6
8,101,2.4
8,102,4.2
8,103,3.7
8,104,4.5
8,105,3.3
8,106,2.8
8,107,4.6
8,108,3.9
8,109,4.1
8,110,3.5
8,111,4.3
8,112,2.7
8,113,4.8
8,114,3.2
8,115,4.4
9,101,4.1
9,102,3.6
9,103,4.4
9,104,2.8
9,105,4.7
9,106,3.4
9,107,3.9
9,108,4.2
9,109,3.1
9,110,2.5
9,111,4.6
9,112,3.8
9,113,4.3
9,114,3.7
9,115,4.5
9,116,3.3
10,101,3.8
10,102,4.6
10,103,2.9
10,104,4.3
10,105,3.5
10,106,4.1
10,107,3.7
10,108,2.6
10,109,4.8
10,110,3.2
10,111,4.4
10,112,3.9
10,113,2.8
10,114,4.5
10,115,3.6
10,116,4.2
10,117,3.4
11,101,4.5
11,102,2.7
11,103,4.2
11,104,3.8
11,105,4.6
11,106,3.1
11,107,2.9
11,108,4.4
11,109,3.6
11,110,4.1
11,111,3.3
11,112,4.7
11,113,3.9
11,114,2.5
11,115,4.3
11,116,3.7
11,117,4.8
11,118,3.2
12,101,3.4
12,102,4.3
12,103,3.9
12,104,2.6
12,105,4.5
12,106,3.7
12,107,4.1
12,108,3.3
12,109,2.8
12,110,4.6
12,111,3.5
12,112,4.2
12,113,3.8
12,114,4.4
12,115,2.9
12,116,4.7
12,117,3.1
12,118,4.0
12,119,3.6
13,101,4.2
13,102,3.5
13,103,2.8
13,104,4.6
13,105,3.9
13,106,4.3
13,107,3.2
13,108,4.5
13,109,3.7
13,110,2.4
13,111,4.8
13,112,3.4
13,113,4.1
13,114,3.6
13,115,4.4
13,116,2.7
13,117,4.3
13,118,3.8
13,119,4.7
13,120,3.3
14,101,3.7
14,102,4.4
14,103,3.1
14,104,2.9
14,105,4.2
14,106,3.8
14,107,4.6
14,108,2.5
14,109,4.5
14,110,3.4
14,111,4.1
14,112,3.6
14,113,2.8
14,114,4.7
14,115,3.3
14,116,4.3
14,117,3.9
14,118,4.8
14,119,2.6
14,120,4.0
14,121,3.5
15,101,4.6
15,102,2.8
15,103,4.1
15,104,3.7
15,105,4.4
15,106,3.2
15,107,2.6
15,108,4.8
15,109,3.5
15,110,4.2
15,111,3.9
15,112,2.4
15,113,4.5
15,114,3.3
15,115,4.7
15,116,3.6
15,117,4.3
15,118,2.9
15,119,4.1
15,120,3.8
15,121,4.4
15,122,3.4
16,101,2.7
16,102,4.3
16,103,3.8
16,104,4.5
16,105,3.1
